area_type,availability,location,size,society,total_sqft,bath,balcony,price,total_sqft_cleaned,bhk,price_per_sqft,price_in_lakhs
Super built-up  Area,Ready To Move,1st Phase JP Nagar,4 BHK,Prhtsok,2825,4.0,3.0,250.0,2825.0,4,8849.557522123894,25000000.0
Plot  Area,Ready To Move,1st Phase JP Nagar,8 Bedroom,,1200,7.0,2.0,240.0,1200.0,8,20000.0,24000000.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,Prhtsok,1875,3.0,1.0,167.0,1875.0,3,8906.666666666666,16700000.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,Prhtsok,2065,4.0,1.0,210.0,2065.0,3,10169.49152542373,21000000.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,NCaveun,2024,3.0,,157.0,2024.0,3,7756.916996047431,15700000.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,Prhtsok,2059,3.0,2.0,225.0,2059.0,3,10927.634774162214,22500000.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,NCaveun,1394,2.0,1.0,100.0,1394.0,2,7173.601147776184,10000000.0
Super built-up  Area,18-May,1st Phase JP Nagar,2 BHK,Inntsth,1077,2.0,2.0,93.0,1077.0,2,8635.097493036212,9300000.0
Plot  Area,Ready To Move,1st Phase JP Nagar,2 Bedroom,,1566,2.0,0.0,180.0,1566.0,2,11494.252873563219,18000000.0
Built-up  Area,Ready To Move,1st Phase JP Nagar,1 BHK,Opamaan,840,2.0,2.0,50.0,840.0,1,5952.380952380952,5000000.0
Super built-up  Area,18-May,1st Phase JP Nagar,3 BHK,Inntsth,1590,3.0,3.0,131.0,1590.0,3,8238.993710691824,13100000.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,Prhtsok,2180,3.0,2.0,210.0,2180.0,3,9633.02752293578,21000000.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,,1180,2.0,2.0,88.5,1180.0,2,7500.0,8850000.0
Plot  Area,Ready To Move,1st Phase JP Nagar,5 Bedroom,,2200,7.0,2.0,350.0,2200.0,5,15909.09090909091,35000000.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,,1200,2.0,,86.0,1200.0,2,7166.666666666667,8600000.0
Plot  Area,Ready To Move,1st Phase JP Nagar,4 Bedroom,,1200,4.0,2.0,300.0,1200.0,4,25000.0,30000000.0
Built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,NCaveun,1394,2.0,2.0,85.0,1394.0,2,6097.5609756097565,8500000.0
Super built-up  Area,18-May,1st Phase JP Nagar,3 BHK,Inntsth,2077,3.0,3.0,175.0,2077.0,3,8425.613866153106,17500000.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,NCaveun,1205,2.0,1.0,85.0,1205.0,2,7053.941908713693,8500000.0
Built-up  Area,Ready To Move,1st Phase JP Nagar,4 Bedroom,,1900,3.0,1.0,400.0,1900.0,4,21052.63157894737,40000000.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,4 BHK,Prhtsok,2615,5.0,3.0,222.0,2615.0,4,8489.483747609942,22200000.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,,900,2.0,1.0,75.0,900.0,2,8333.333333333334,7500000.0
Built-up  Area,Ready To Move,1st Stage Indira Nagar,2 BHK,,940,2.0,1.0,56.0,940.0,2,5957.446808510638,5600000.0
Super built-up  Area,Ready To Move,1st Stage Indira Nagar,4 BHK,,3000,4.0,2.0,301.0,3000.0,4,10033.333333333334,30100000.0
Built-up  Area,Ready To Move,2nd Block Hrbr Layout,3 BHK,Raaden ,1480,3.0,2.0,90.0,1480.0,3,6081.081081081081,9000000.0
Super built-up  Area,Ready To Move,2nd Block Hrbr Layout,3 BHK,,1480,3.0,2.0,90.0,1480.0,3,6081.081081081081,9000000.0
Super built-up  Area,18-Jul,2nd Block Hrbr Layout,3 BHK,,1550,3.0,3.0,110.0,1550.0,3,7096.774193548387,11000000.0
Plot  Area,Ready To Move,2nd Block Hrbr Layout,4 Bedroom,,1050,6.0,1.0,74.0,1050.0,4,7047.619047619048,7400000.0
Plot  Area,Ready To Move,2nd Block Hrbr Layout,4 Bedroom,,1350,4.0,3.0,235.0,1350.0,4,17407.40740740741,23500000.0
Super built-up  Area,Ready To Move,2nd Block Jayanagar,3 BHK,SaignSo,1718,3.0,3.0,223.0,1718.0,3,12980.209545983702,22300000.0
Plot  Area,18-Apr,2nd Block Jayanagar,4 Bedroom,,4920,5.0,2.0,1150.0,4920.0,4,23373.983739837397,115000000.0
Built-up  Area,Ready To Move,2nd Block Jayanagar,2 BHK,,1000,2.0,1.0,97.0,1000.0,2,9700.0,9700000.0
Plot  Area,Ready To Move,2nd Phase JP Nagar,8 Bedroom,,1350,8.0,2.0,185.0,1350.0,8,13703.703703703704,18500000.0
Plot  Area,Ready To Move,2nd Phase JP Nagar,3 Bedroom,,1200,3.0,1.0,190.0,1200.0,3,15833.333333333334,19000000.0
Built-up  Area,Ready To Move,2nd Phase JP Nagar,2 BHK,,1040,2.0,2.0,78.0,1040.0,2,7500.0,7800000.0
Plot  Area,Ready To Move,2nd Stage Arekere Mico Layout,4 Bedroom,,1200,4.0,1.0,130.0,1200.0,4,10833.333333333334,13000000.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,1500,4.0,2.0,220.0,1500.0,4,14666.666666666666,22000000.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,6 Bedroom,,3000,8.0,3.0,451.0,3000.0,6,15033.333333333334,45100000.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,6 Bedroom,,2400,8.0,3.0,450.0,2400.0,6,18750.0,45000000.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,1200,4.0,2.0,245.0,1200.0,4,20416.666666666668,24500000.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,1350,4.0,1.0,200.0,1350.0,4,14814.814814814816,20000000.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,,1200,4.0,3.0,240.0,1200.0,5,20000.0,24000000.0
Built-up  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,600,3.0,1.0,95.0,600.0,4,15833.333333333334,9500000.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,3 Bedroom,,600,4.0,2.0,100.0,600.0,3,16666.666666666668,10000000.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,1200,4.0,1.0,225.0,1200.0,4,18750.0,22500000.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,600,4.0,2.0,125.0,600.0,4,20833.333333333332,12500000.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,,1200,4.0,3.0,240.0,1200.0,5,20000.0,24000000.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,,1200,4.0,3.0,240.0,1200.0,5,20000.0,24000000.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,,1200,4.0,2.0,240.0,1200.0,5,20000.0,24000000.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,,1200,4.0,3.0,240.0,1200.0,5,20000.0,24000000.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,1500,3.0,2.0,230.0,1500.0,4,15333.333333333334,23000000.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,600,3.0,1.0,84.0,600.0,4,14000.0,8400000.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,600,3.0,2.0,82.0,600.0,4,13666.666666666666,8200000.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,6 Bedroom,,1500,4.0,2.0,233.0,1500.0,6,15533.333333333334,23300000.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,,1200,4.0,2.0,240.0,1200.0,5,20000.0,24000000.0
Plot  Area,Ready To Move,3rd Block Banashankari,6 Bedroom,,2400,8.0,2.0,650.0,2400.0,6,27083.333333333332,65000000.0
Plot  Area,Ready To Move,3rd Block Banashankari,4 Bedroom,,1200,4.0,1.0,175.0,1200.0,4,14583.333333333334,17500000.0
Plot  Area,Ready To Move,3rd Block Banashankari,5 Bedroom,,2400,4.0,1.0,325.0,2400.0,5,13541.666666666666,32500000.0
Plot  Area,Ready To Move,3rd Block Hrbr Layout,5 Bedroom,Bemesrm,1200,5.0,2.0,190.0,1200.0,5,15833.333333333334,19000000.0
Super built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,Icncy R,1056,2.0,1.0,80.0,1056.0,2,7575.757575757576,8000000.0
Built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,Icncy R,1300,2.0,3.0,95.0,1300.0,2,7307.692307692308,9500000.0
Built-up  Area,Ready To Move,3rd Block Hrbr Layout,3 BHK,,1650,3.0,2.0,140.0,1650.0,3,8484.848484848484,14000000.0
Built-up  Area,Ready To Move,3rd Block Jayanagar,3 BHK,,2150,3.0,3.0,240.0,2150.0,3,11162.790697674418,24000000.0
Super built-up  Area,Ready To Move,3rd Block Koramangala,3 BHK,Aplanje,2100,3.0,1.0,270.0,2100.0,3,12857.142857142857,27000000.0
Built-up  Area,Ready To Move,3rd Phase JP Nagar,4 BHK,,4500,4.0,3.0,345.0,4500.0,4,7666.666666666667,34500000.0
Super built-up  Area,Ready To Move,4th Block Jayanagar,2 BHK,,900,2.0,1.0,70.0,900.0,2,7777.777777777777,7000000.0
Super built-up  Area,19-Dec,4th Block Jayanagar,3 BHK,,2005,3.0,2.0,240.0,2005.0,3,11970.074812967581,24000000.0
Super built-up  Area,Ready To Move,4th Block Jayanagar,3 BHK,,1567.2,2.0,0.0,190.0,1567.2,3,12123.532414497193,19000000.0
Super built-up  Area,Ready To Move,4th Block Koramangala,2 BHK,EvestPi,1225,2.0,2.0,150.0,1225.0,2,12244.897959183674,15000000.0
Carpet  Area,Ready To Move,4th Block Koramangala,9 BHK,,4500,9.0,,500.0,4500.0,9,11111.111111111111,50000000.0
Built-up  Area,Ready To Move,4th Block Koramangala,3 BHK,,1800,3.0,3.0,140.0,1800.0,3,7777.777777777777,14000000.0
Super built-up  Area,Ready To Move,4th Block Koramangala,4 BHK,,3400,6.0,,420.0,3400.0,4,12352.941176470587,42000000.0
Super built-up  Area,Ready To Move,4th Block Koramangala,2 BHK,,1269,2.0,2.0,97.0,1269.0,2,7643.81402679275,9700000.0
Super built-up  Area,Ready To Move,4th Phase JP Nagar,2 BHK,,600,4.0,1.0,70.0,600.0,2,11666.666666666666,7000000.0
Super built-up  Area,Ready To Move,4th T block Jayanagar,3 BHK,,2401,3.0,2.0,185.0,2401.0,3,7705.12286547272,18500000.0
Built-up  Area,19-Mar,4th T block Jayanagar,4 BHK,,3900,4.0,,333.0,3900.0,4,8538.461538461539,33300000.0
Built-up  Area,Ready To Move,4th T block Jayanagar,4 Bedroom,,1550,4.0,1.0,120.0,1550.0,4,7741.935483870968,12000000.0
Super built-up  Area,Ready To Move,4th T block Jayanagar,3 BHK,,2100,3.0,3.0,220.0,2100.0,3,10476.190476190477,22000000.0
Super built-up  Area,Ready To Move,4th T block Jayanagar,3 BHK,,2400,3.0,2.0,185.0,2400.0,3,7708.333333333333,18500000.0
Super built-up  Area,Ready To Move,5th Block Hbr Layout,3 BHK,,1270,2.0,2.0,70.0,1270.0,3,5511.811023622047,7000000.0
Plot  Area,Ready To Move,5th Block Hbr Layout,5 Bedroom,,1200,6.0,1.0,220.0,1200.0,5,18333.333333333332,22000000.0
Plot  Area,Ready To Move,5th Block Hbr Layout,4 Bedroom,,1200,4.0,2.0,205.0,1200.0,4,17083.333333333332,20500000.0
Super built-up  Area,Ready To Move,5th Block Hbr Layout,5 BHK,,1200,5.0,,205.0,1200.0,5,17083.333333333332,20500000.0
Plot  Area,Ready To Move,5th Block Hbr Layout,5 Bedroom,,1200,5.0,,205.0,1200.0,5,17083.333333333332,20500000.0
Built-up  Area,Ready To Move,5th Block Jayanagar,1 Bedroom,,1500,1.0,1.0,300.0,1500.0,1,20000.0,30000000.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Mangsr ,1075,2.0,2.0,60.0,1075.0,2,5581.395348837209,6000000.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,Shlashi,1725,2.0,2.0,100.0,1725.0,3,5797.101449275362,10000000.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,,1400,2.0,1.0,88.0,1400.0,3,6285.714285714285,8800000.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,,1700,2.0,3.0,100.0,1700.0,3,5882.35294117647,10000000.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,1 BHK,Shenshi,600,1.0,1.0,30.0,600.0,1,5000.0,3000000.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,,1220,2.0,3.0,88.0,1220.0,2,7213.11475409836,8800000.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,MBaleRo,1350,2.0,1.0,75.0,1350.0,3,5555.555555555556,7500000.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,1 BHK,,552,1.0,1.0,23.5,552.0,1,4257.246376811594,2350000.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Matonr ,1030,2.0,2.0,57.0,1030.0,2,5533.980582524272,5700000.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,,1200,2.0,1.0,68.0,1200.0,2,5666.666666666667,6800000.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Rewelav,1010,2.0,2.0,57.0,1010.0,2,5643.564356435643,5700000.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Mangsr ,1075,2.0,2.0,60.0,1075.0,2,5581.395348837209,6000000.0
Plot  Area,Ready To Move,5th Phase JP Nagar,4 Bedroom,,2400,4.0,1.0,228.0,2400.0,4,9500.0,22800000.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,HMinebo,1192,2.0,2.0,74.0,1192.0,2,6208.053691275168,7400000.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,,1180,2.0,3.0,80.0,1180.0,2,6779.661016949152,8000000.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,4 BHK,,3245,4.0,,250.0,3245.0,4,7704.160246533128,25000000.0
Built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,,1645,3.0,3.0,100.0,1645.0,3,6079.0273556231,10000000.0
Built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,SNpalaj,1140,2.0,2.0,65.0,1140.0,2,5701.754385964912,6500000.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,SGncy R,2040,3.0,,200.0,2040.0,3,9803.921568627451,20000000.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,NCierar,1170,2.0,2.0,120.0,1170.0,2,10256.410256410256,12000000.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,Solip T,2003,3.0,3.0,200.0,2003.0,3,9985.022466300548,20000000.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,HMinebo,1810,3.0,3.0,131.0,1810.0,3,7237.5690607734805,13100000.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,NCierar,1515,2.0,2.0,135.0,1515.0,3,8910.89108910891,13500000.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,HMinebo,1192,2.0,3.0,75.0,1192.0,2,6291.946308724832,7500000.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,HMinebo,1280,2.0,1.0,88.0,1280.0,2,6875.0,8800000.0
Built-up  Area,Ready To Move,6th block Koramangala,3 BHK,Sinde G,2350,3.0,2.0,400.0,2350.0,3,17021.27659574468,40000000.0
Built-up  Area,Ready To Move,6th block Koramangala,2 BHK,Krone S,1117,2.0,1.0,110.0,1117.0,2,9847.806624888093,11000000.0
Super built-up  Area,Ready To Move,6th block Koramangala,3 BHK,,3000,3.0,2.0,400.0,3000.0,3,13333.333333333334,40000000.0
Built-up  Area,Ready To Move,7th Block Jayanagar,5 Bedroom,,3000,3.0,1.0,528.0,3000.0,5,17600.0,52800000.0
Plot  Area,Ready To Move,7th Block Jayanagar,3 Bedroom,,2400,3.0,0.0,408.0,2400.0,3,17000.0,40800000.0
Built-up  Area,Ready To Move,7th Block Jayanagar,3 BHK,Shamzm ,1903,2.0,1.0,293.0,1903.0,3,15396.741986337362,29300000.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1080,2.0,2.0,72.0,1080.0,2,6666.666666666667,7200000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1270,2.0,2.0,93.0,1270.0,2,7322.834645669292,9300000.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1420,2.0,1.0,100.0,1420.0,3,7042.2535211267605,10000000.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850,3.0,1.0,150.0,1850.0,3,8108.108108108108,15000000.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Eladero,1245,2.0,1.0,94.0,1245.0,2,7550.2008032128515,9400000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1175,2.0,1.0,82.0,1175.0,2,6978.723404255319,8200000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1400,2.0,1.0,95.0,1400.0,3,6785.714285714285,9500000.0
Super built-up  Area,19-Dec,7th Phase JP Nagar,3 BHK,Puarero,2225,3.0,1.0,160.0,2225.0,3,7191.011235955056,16000000.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1050,2.0,1.0,71.0,1050.0,2,6761.9047619047615,7100000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brsiaen,1450,2.0,1.0,100.0,1450.0,3,6896.551724137931,10000000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1420,2.0,2.0,96.0,1420.0,3,6760.56338028169,9600000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1680,3.0,2.0,120.0,1680.0,3,7142.857142857143,12000000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,980,2.0,2.0,69.0,980.0,2,7040.816326530612,6900000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Hiestre,1180,2.0,2.0,72.0,1180.0,2,6101.6949152542375,7200000.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,LencyRe,1050,2.0,1.0,57.0,1050.0,3,5428.571428571428,5700000.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1400,3.0,1.0,115.0,1400.0,3,8214.285714285714,11500000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1270,2.0,1.0,83.0,1270.0,2,6535.433070866142,8300000.0
Super built-up  Area,19-Dec,7th Phase JP Nagar,4 BHK,Puarero,2503,4.0,0.0,188.0,2503.0,4,7510.986815821015,18800000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,BriumMi,2200,3.0,2.0,190.0,2200.0,3,8636.363636363636,19000000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,JDensar,1250,3.0,2.0,65.0,1250.0,3,5200.0,6500000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1575,2.0,2.0,110.0,1575.0,3,6984.126984126984,11000000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850,3.0,2.0,140.0,1850.0,3,7567.5675675675675,14000000.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1575,2.0,2.0,120.0,1575.0,3,7619.047619047619,12000000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850,3.0,2.0,150.0,1850.0,3,8108.108108108108,15000000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1680,3.0,2.0,120.0,1680.0,3,7142.857142857143,12000000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1175,2.0,2.0,82.5,1175.0,2,7021.276595744681,8250000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1215,2.0,2.0,90.0,1215.0,2,7407.407407407408,9000000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1050,2.0,1.0,75.0,1050.0,2,7142.857142857143,7500000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Axdam V,1300,3.0,2.0,89.13,1300.0,3,6856.153846153846,8913000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1130,2.0,2.0,73.0,1130.0,2,6460.1769911504425,7300000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,BriumMi,1450,3.0,2.0,100.0,1450.0,3,6896.551724137931,10000000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1275,2.0,1.0,87.0,1275.0,2,6823.529411764706,8700000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1650,3.0,2.0,110.0,1650.0,3,6666.666666666667,11000000.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1680,3.0,2.0,117.0,1680.0,3,6964.285714285715,11700000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850,3.0,1.0,150.0,1850.0,3,8108.108108108108,15000000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1680,3.0,2.0,125.0,1680.0,3,7440.476190476191,12500000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1675,2.0,2.0,135.0,1675.0,3,8059.701492537313,13500000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850,3.0,2.0,155.0,1850.0,3,8378.378378378378,15500000.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1000,2.0,1.0,61.0,1000.0,2,6100.0,6100000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1460,2.0,2.0,100.0,1460.0,3,6849.315068493151,10000000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1650,3.0,3.0,110.0,1650.0,3,6666.666666666667,11000000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Axdam V,1000,2.0,1.0,70.65,1000.0,2,7065.000000000001,7065000.000000001
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1080,2.0,2.0,75.0,1080.0,2,6944.444444444444,7500000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,,2100,3.0,2.0,200.0,2100.0,3,9523.809523809523,20000000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1680,3.0,3.0,125.0,1680.0,3,7440.476190476191,12500000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1460,2.0,1.0,97.0,1460.0,3,6643.835616438356,9700000.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1120,2.0,2.0,65.0,1120.0,2,5803.571428571428,6500000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1790,3.0,3.0,120.0,1790.0,3,6703.91061452514,12000000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1680,3.0,2.0,117.0,1680.0,3,6964.285714285715,11700000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1050,2.0,1.0,77.0,1050.0,2,7333.333333333333,7700000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1050,2.0,1.0,75.0,1050.0,2,7142.857142857143,7500000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1040,2.0,1.0,75.0,1040.0,2,7211.538461538462,7500000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1400,2.0,1.0,95.0,1400.0,3,6785.714285714285,9500000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,BriumMi,1800,3.0,2.0,130.0,1800.0,3,7222.222222222223,13000000.0
